@relation Movie

@attribute Votes real
@attribute Dir_rating real
@attribute writer_rating real
@attribute actor_likes real
@attribute rating {1,2,3,4,5,6,7,8,9}

@data
1,1.45,1.1,1,1
992,1.45,1.1,3965,1
10,2.0,2.0,10,2
4055,2.0,2.0,6687,2
100,3.3,3.3,100,3
14851,3.3,3.3,24170,3
100,4.8,4.8,100,4 
2462,4.8,4.8,140097,4
1000,5.1,5.1,1000,5
2783,5.1,5.1,3150275,5
1000,6.9,6.9,1000,6
20416,6.9,6.9,24368811,6
10000,7.5,7.5,10000,7
33335,7.5,7.5,12543500,7
10000,8.35,8.0,10000,8
52849,8.35,8.0,4726093,8
10000,9.9,9.9,10000,9
10792,9.9,9.9,22045556,9
