@relation Movie

@attribute Votes real
@attribute Dir_rating real
@attribute writer_rating real
@attribute actor_likes real
@attribute lang real
@attribute rating {1,2,3,4,5,6,7,8,9}

@data
1,1.45,1.1,1,1,1
18,1.3,2.1,1067,1,1
992,1.45,1.1,3965,1,1
10,2.0,2.0,10,1,2
1258,2.6,3.2,60,1,2
4055,2.0,2.0,6687,1,2
100,3.3,3.3,100,1,3
2656,5.1,5.1,3966,1,3
14851,3.3,3.3,24170,1,3
100,4.8,4.8,100,1,4 
992,3.9,3.9,3150275,1,4
2462,4.8,4.8,14009,1,4
1000,5.1,5.1,1000,1,5
2783,5.1,5.1,31502,1,5
4055,5.35,4.0,4726093,1,5
1000,6.9,6.9,1000,1,6
1009,6.3,5.3,3150275,1,6
20416,6.9,6.9,24368811,2,6
10000,7.5,7.5,10000,1,7
4088,5.35,6.7,178043,1,7
33335,7.5,7.5,12543500,1,7
10000,8.35,8.0,10000,1,8
16608,7.5,7.5,7928334,1,8
52849,8.35,8.0,4726093,1,8
10000,9.9,9.9,10000,1,9
81235,8.6,8.6,2271734,1,9
10000,9.9,9.9,32949705,1,9
